student_id,academic_cycle_name,course_code,section_number,time_block_name,end_time_block_name,room_name,teacher_id,max_enrollment,rotation_day
240001,2025-2026,MATH-901,A,Period 1,,101,TCH001,25,A_DAY
240001,2025-2026,ELA-901,A,Period 2,,201,TCH013,25,A_DAY
240001,2025-2026,SCI-901,A,Period 3,Period 4,Science Lab 1,TCH016,20,A_DAY
240001,2025-2026,SOC-901,A,Period 5,,301,TCH021,25,A_DAY
240001,2025-2026,PE-901,A,Period 6,,Gym,TCH026,30,
240002,2025-2026,MATH-901,B,Period 1,,102,TCH002,25,A_DAY
240002,2025-2026,ELA-901,B,Period 2,,202,TCH014,25,A_DAY
240002,2025-2026,SCI-901,B,Period 3,Period 4,Science Lab 2,TCH017,20,A_DAY
240002,2025-2026,SOC-901,B,Period 5,,302,TCH022,25,A_DAY
240002,2025-2026,PE-901,A,Period 6,,Gym,TCH026,30,
240003,2025-2026,MATH-901,C,Period 2,,103,TCH003,25,A_DAY
240003,2025-2026,ELA-901,C,Period 3,,203,TCH015,25,A_DAY
240003,2025-2026,SCI-901,C,Period 4,Period 5,Science Lab 3,TCH018,20,A_DAY
240003,2025-2026,SOC-901,C,Period 6,,303,TCH023,25,A_DAY
240003,2025-2026,PE-901,B,Period 7,,Gym,TCH026,30,
240004,2025-2026,MATH-901,D,Period 3,,104,TCH004,25,A_DAY
240004,2025-2026,ELA-901,D,Period 4,,204,TCH009,25,A_DAY
240004,2025-2026,SCI-901,D,Period 5,Period 6,Science Lab 4,TCH019,20,A_DAY
240004,2025-2026,SOC-901,D,Period 7,,304,TCH021,25,A_DAY
240004,2025-2026,PE-901,C,Period 8,,Gym,TCH026,30,
240005,2025-2026,MATH-901,E,Period 4,,105,TCH005,25,A_DAY
240005,2025-2026,ELA-901,E,Period 5,,205,TCH010,25,A_DAY
240005,2025-2026,SCI-901,A,Period 1,Period 2,Science Lab 1,TCH016,20,A_DAY
240005,2025-2026,SOC-901,E,Period 6,,305,TCH022,25,A_DAY
240005,2025-2026,PE-901,D,Period 7,,Gym,TCH026,30,
240126,2025-2026,MATH-902,A,Period 1,,106,TCH006,25,A_DAY
240126,2025-2026,ELA-902,A,Period 2,,206,TCH013,25,A_DAY
240126,2025-2026,SCI-901,A,Period 3,,101,TCH017,25,A_DAY
240126,2025-2026,SOC-901,A,Period 4,,306,TCH021,25,A_DAY
240126,2025-2026,PE-902,A,Period 5,,Gym,TCH026,30,
240127,2025-2026,MATH-902,B,Period 2,,107,TCH007,25,A_DAY
240127,2025-2026,ELA-902,B,Period 3,,207,TCH014,25,A_DAY
240127,2025-2026,SCI-901,B,Period 4,,102,TCH018,25,A_DAY
240127,2025-2026,SOC-901,B,Period 5,,307,TCH022,25,A_DAY
240127,2025-2026,PE-902,B,Period 6,,Gym,TCH026,30,
240251,2025-2026,MATH-903,A,Period 1,,108,TCH008,25,A_DAY
240251,2025-2026,ELA-903,A,Period 2,,208,TCH015,25,A_DAY
240251,2025-2026,SCI-902,A,Period 3,Period 4,Science Lab 1,TCH020,20,A_DAY
240251,2025-2026,SOC-902,A,Period 5,,308,TCH023,25,A_DAY
240251,2025-2026,PE-903,A,Period 6,,Gym,TCH026,30,
240252,2025-2026,MATH-903,B,Period 2,,109,TCH011,25,A_DAY
240252,2025-2026,ELA-904,A,Period 3,,209,TCH009,25,A_DAY
240252,2025-2026,SCI-902,B,Period 4,Period 5,Science Lab 2,TCH016,20,A_DAY
240252,2025-2026,SOC-903,A,Period 6,,309,TCH021,25,A_DAY
240252,2025-2026,PE-903,B,Period 7,,Gym,TCH026,30,
240376,2025-2026,MATH-904,A,Period 1,,110,TCH012,25,A_DAY
240376,2025-2026,ELA-905,A,Period 2,,210,TCH010,25,A_DAY
240376,2025-2026,SCI-903,A,Period 3,,103,TCH017,25,A_DAY
240376,2025-2026,SOC-904,A,Period 4,,310,TCH022,25,A_DAY
240376,2025-2026,PE-902,A,Period 5,,Gym,TCH026,30,
240377,2025-2026,MATH-905,A,Period 2,,101,TCH001,25,A_DAY
240377,2025-2026,ELA-905,B,Period 3,,201,TCH013,25,A_DAY
240377,2025-2026,SCI-904,A,Period 4,,104,TCH018,25,A_DAY
240377,2025-2026,SOC-905,A,Period 5,,301,TCH023,25,A_DAY
240377,2025-2026,PE-902,B,Period 6,,Gym,TCH026,30,
240378,2025-2026,MATH-905,B,Period 3,,102,TCH002,25,A_DAY
240378,2025-2026,ELA-905,C,Period 4,,202,TCH014,25,A_DAY
240378,2025-2026,SCI-905,A,Period 5,,105,TCH019,25,A_DAY
240378,2025-2026,SOC-904,B,Period 6,,302,TCH021,25,A_DAY
240378,2025-2026,PE-902,C,Period 7,,Gym,TCH026,30,

