student_id,academic_cycle_name,course_code,section_number,period_start,period_end,room_no,teacher_id,max_enrollment,rotation_day
,2025-2026,Planning,A,Period 7,,101,TCH001,0,
240001,2025-2026,MATH-901,A,Period 1,,101,TCH001,25,
240002,2025-2026,MATH-901,A,Period 1,,101,TCH001,25,
240003,2025-2026,MATH-901,A,Period 1,,101,TCH001,25,
240004,2025-2026,MATH-901,A,Period 1,,101,TCH001,25,
240005,2025-2026,MATH-901,A,Period 1,,101,TCH001,25,
240006,2025-2026,MATH-901,A,Period 1,,101,TCH001,25,
240007,2025-2026,MATH-901,A,Period 1,,101,TCH001,25,
240008,2025-2026,MATH-901,A,Period 1,,101,TCH001,25,
240009,2025-2026,MATH-901,A,Period 1,,101,TCH001,25,
240010,2025-2026,MATH-901,A,Period 1,,101,TCH001,25,
240011,2025-2026,MATH-901,A,Period 1,,101,TCH001,25,
240012,2025-2026,MATH-901,A,Period 1,,101,TCH001,25,
240013,2025-2026,MATH-901,A,Period 1,,101,TCH001,25,
240014,2025-2026,MATH-901,A,Period 1,,101,TCH001,25,
240015,2025-2026,MATH-901,A,Period 1,,101,TCH001,25,
240016,2025-2026,MATH-901,A,Period 1,,101,TCH001,25,
240017,2025-2026,MATH-901,A,Period 1,,101,TCH001,25,
240018,2025-2026,MATH-901,A,Period 1,,101,TCH001,25,
240019,2025-2026,MATH-901,A,Period 1,,101,TCH001,25,
240020,2025-2026,MATH-901,A,Period 1,,101,TCH001,25,
240021,2025-2026,MATH-901,A,Period 1,,101,TCH001,25,
240022,2025-2026,MATH-901,A,Period 1,,101,TCH001,25,
240023,2025-2026,MATH-901,A,Period 1,,101,TCH001,25,
240024,2025-2026,MATH-901,A,Period 1,,101,TCH001,25,
240025,2025-2026,MATH-901,A,Period 1,,101,TCH001,25,
,2025-2026,Planning,B,Period 7,,102,TCH002,0,
240026,2025-2026,MATH-901,B,Period 2,,102,TCH002,25,
240027,2025-2026,MATH-901,B,Period 2,,102,TCH002,25,
240028,2025-2026,MATH-901,B,Period 2,,102,TCH002,25,
240029,2025-2026,MATH-901,B,Period 2,,102,TCH002,25,
240030,2025-2026,MATH-901,B,Period 2,,102,TCH002,25,
240031,2025-2026,MATH-901,B,Period 2,,102,TCH002,25,
240032,2025-2026,MATH-901,B,Period 2,,102,TCH002,25,
240033,2025-2026,MATH-901,B,Period 2,,102,TCH002,25,
240034,2025-2026,MATH-901,B,Period 2,,102,TCH002,25,
240035,2025-2026,MATH-901,B,Period 2,,102,TCH002,25,
240036,2025-2026,MATH-901,B,Period 2,,102,TCH002,25,
240037,2025-2026,MATH-901,B,Period 2,,102,TCH002,25,
240038,2025-2026,MATH-901,B,Period 2,,102,TCH002,25,
240039,2025-2026,MATH-901,B,Period 2,,102,TCH002,25,
